event_date;event;source
04/04/2023;On 4 April 2023, a Palestinian assailant [from Hebron] stabbed two soldiers near a military base in Tzrifin (Rehovot, HaMerkaz). One of the soldiers was seriously injured and the second was lightly injured. The soldiers and passing civilians subdued the assailant until he was arrested shortly after.;"Srugim; Times of Israel; Ynet"
05/04/2023;On 5 April 2023, the Palestinian Islamic Jihad fired 18 rockets from the Gaza Strip toward localities in southern Israel, causing sirens to sound in Erez, Niram, Sderot (Ashqelon, HaDarom), and other nearby locations. One rocket hit a factory in Sderot, causing material damages. The rocket fire was presumably in response to the recent clashes at Al Aqsa Mosque.;"Haaretz; Jerusalem Post; N12; Times of Israel; Ynet"
06/04/2023;On 6 April 2023, the Palestinian Islamic Jihad fired seven rockets from the Gaza strip toward Israel, causing sirens to sound in Dorot (Ashqelon, HaDarom) and other nearby southern localities. According to the IDF, the seven projectiles were surface-to-air rockets, and all of them exploded while in the air. No damage or injuries were reported.;Times of Israel
07/04/2023;On 7 April 2023, an Israeli Arab carried out a car ramming attack in Tel Aviv city, killing one Italian tourist and injuring seven more, who were all tourists from either Italy or the United Kingdom. The assailant was shot dead by police forces following the ramming. The assailant had no known affiliation to any terror organizations.;"Haaretz; N12; Times of Israel; Walla!News"
08/04/2023;On 8 April 2023, the PIJ-affiliated Katibat Jenin opened fire towards the Meirav settlement near Jalbun (Jenin, West Bank). No casualties occurred.;Newpress
09/04/2023;Around 9 April 2023 (week of), members of the Lion's Den shot and killed a Palestinian civilian in the Old City of Nablus (Nablus, West Bank). Lion's Den later claimed that the civilian shot was a collaborator with Israeli authorities, and was given a mission to track down and kill Lion's Den militants.;"Arab 48; Joe Truzman"
10/04/2023;On 10 April 2023, an unidentified Palestinian group did a drive-by shooting targeting Israeli settlers at the Beit Hagai intersection (Hebron, West Bank). No casualties occurred.;Newpress
11/04/2023;On 11 April 2023, Palestinian militants affiliated with Al Aqsa Martyrs Brigade, the military wing of Fatah, opened fire at an Israeli military post near Elon Moreh settlement and Dayr al Hatab village (Nablus, West Bank). Israeli troops ambushed the militants and opened fire at them, killing two gunmen and injuring a third person who fled the scene. One of the killed militants was an officer with the Palestinian security forces.;"Al-Ittihad; Al Ghad (Jordan); AP; Arab 48; Arutz Sheva; Dunia Al Watan; Haaretz; Jerusalem Post; Joe Truzman; Liveuamap; Ma'an News Agency; Newpress; Palestine News and Information Agency; Palestinian News Network; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Press TV; Quds News Network; Times of Israel; Twitter; Xinhua"
12/04/2023;On 12 April 2023, Palestinian militants affiliated with Al Aqsa Martyrs Brigade, the military wing of Fatah, opened fire toward the Karme Zur settlement (Hebron, West Bank). There were no casualties.;"Newpress; Twitter"
13/04/2023;On 13 April 2023, Palestinian militants affiliated with the Al Aqsa Martyrs Brigade (Fatah) and Katibat Tubas (PIJ) opened fire at Israeli military forces who raided Tammun village (Tubas, West Bank). Meanwhile, Palestinian rioters clashed with soldiers. There were no casualties.;"Arab 48; Dunia Al Watan; Newpress; PLO Negotiations Affairs Department; Quds News Network; Twitter"
14/04/2023;On 14 April 2023, unidentified Palestinians threw explosive devices toward Israeli soldiers who raided Balata Camp (Nablus, West Bank). There were no casualties.;Jerusalem Post
15/04/2023;Around 15 April 2023 (as reported), three Jewish Israelis, including an off-duty soldier, attacked two Israeli Arab minors near Hadera (Haifa) in an 'ethnically motivated assault.' The three Jewish Israelis were arrested on 23 May 2023. The incident took place in the month of April.;Haaretz
16/04/2023;On 16 April 2023, an unidentified Palestinian group opened fire at the PA security building in Jenin (Jenin, West Bank) after they detained the brother of a Katibat Jenin leader. Casualties unknown.;"Joe Truzman; Quds News Network"
17/04/2023;On 17 April 2023, Palestinian gunmen fired from inside the West Bank toward the Israeli town of Meirav, near Ein HaNatziv (Yizreel, HaZafon), causing damage to a house in the town. No injuries were reported.;News 0404
18/04/2023;On 18 April 2023, an unidentified Palestinian militant(s) opened fire toward a passing settler car near Ariel settlement and Marda village (Salfit, West Bank). There were no casualties.;"PLO Negotiations Affairs Department; Quds News Network; Twitter"
19/04/2023;On 19 April 2023, an unidentified Palestinian militant(s) opened fire at Israeli military forces who raided Qabatiyah town (Jenin, West Bank). Also, Palestinian rioters clashed with soldiers. There were no casualties.;"Arab 48; Dunia Al Watan; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Twitter"
20/04/2023;On 20 April 2023, a Palestinian Salafist cleric died after two hours of detention by Hamas police in Rafah city (Rafah, West Bank). The victim's family accused Hamas police of torturing him to death. The reason for the detention is unclear.;"Al-Ittihad; PCHR: Palestinian Centre for Human Rights"
21/04/2023;On 21 April 2023, a group of Israeli settlers opened fire randomly toward a Palestinian in Turmus Ayya village (Ramallah and Al Bireh, West Bank). There were no casualties.;PLO Negotiations Affairs Department
22/04/2023;On 22 April 2023, an unidentified Palestinian group opened fire at Israeli forces position on Har Gerizim (Nablus, West Bank). No casualties occurred.;Quds News Network
23/04/2023;On 23 April 2023, an unidentified Palestinian group opened fire at the Gidonim settlement near Bayt Furik (Nablus, West Bank) causing material damages to a house.;Newpress
24/04/2023;On 24 April 2023, a Palestinian resident of East Jerusalem with unclear affiliations carried out a car ramming attack in Jerusalem (Judean Mountains), injuring at least seven people. As a result, a 70-year-old man is in serious condition, one woman was moderately injured, and at least three others were lightly injured or suffered anxiety attacks. The assailant was shot dead by an armed civilian at the scene.;"Haaretz; Israel Hayom; Jerusalem Post; Ynet"
25/04/2023;On 25 April 2023, an unidentified Palestinian militant(s) opened fire toward a group of settlers jogging in a race to commemorate the Israeli Memorial Day, in a drive-by shooting attack at the junction of Wadi al Haramiyah (Ramallah and Al Bireh, West Bank). One settler was injured and required hospitalization.;"Al Ghad (Jordan); Arutz Sheva; Dunia Al Watan; Haaretz; Newpress; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Times of Israel; Twitter"
26/04/2023;On 26 April 2023, an unidentified Palestinian militant(s) opened fire toward the Israeli military checkpoint of Bayt Furik (Nablus, West Bank). There were no casualties.;"Newpress; Quds News Network; Twitter"
27/04/2023;Around 27 April 2023, a Palestinian worker was killed while on the job near Kiryat Malakhi (Ashqelon, HaDarom). According to Palestinian media, the worker was killed by Israeli Jews who also destroyed his mobile phone. The motive behind this act is currently unknown.;Ma'an News Agency
28/04/2023;On 28 April 2023, Israeli armed settlers opened fire toward a passing Palestinian vehicle near Turmus Ayya village (Ramallah and Al Bireh, West Bank). There were no casualties.;PLO Negotiations Affairs Department
29/04/2023;On 29 April 2023, Israeli settlers opened fire randomly toward Palestinians and beat two persons in the al-Sharfa area east of Dayr Jarir village (Ramallah and Al Bireh, West Bank). 2 Palestinians sustained bruises. Also, setters looted a car.;"PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department"
30/04/2023;On 30 April 2023, unidentified Palestinian militant(s) opened fire toward the Israeli military checkpoint of Al Jalamah (Jenin, West Bank). There were no casualties.;"Newpress; Quds News Network; Twitter"
01/05/2023;On 1 May 2023, Palestinian militants exchanged fire with Israeli military forces who carried out arrest operations in Mukhayyam Aqabat Jabr Camp (Jericho, West Bank). Also, Palestinian rioters clashed with soldiers. A 17-year-old militant affiliated with Hamas was killed, and another 6 Palestinians were injured, 3 in serious condition. Israeli troops also confiscated submachine guns that militants used during the operation. There were no casualties among the soldiers.;"Al-Ittihad; Al Ghad (Jordan); Arab 48; Arutz Sheva; Dunia Al Watan; Israeli Defense Forces; Jerusalem Post; Joe Truzman; Ma'an News Agency; Newpress; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Quds News Network; Times of Israel; Twitter; Xinhua"
02/05/2023;On 2 May 2023, Israeli military tanks shelled a Hamas observation site east of Khan Yunis city (Khan Yunis, Gaza Strip) in response to rockets fired toward Israel following the death of hunger striker Khader Adnan in an Israeli prison. The site was destroyed and caused damage to nearby structures. There were no casualties.;Palestine News and Information Agency
03/05/2023;On 3 May 2023, PIJ fired 104 rockets from the Gaza Strip into Israel. 11 rockets fell short and landed in Gaza Strip (Gaza City). There were no casualties.;Jerusalem Post
04/05/2023;On 4 May 2023, Israeli troops involving Yamam, Shin Bet, and IDF conducted an operation in Nablus city (Nablus, West Bank) to arrest Palestinian militants affiliated with Hamas who carried out the shooting attack in Hamra last month. Undercover Special Yamam surrounded a house, exchanged fire with Hamas militants, and fired a shoulder-launched rocket toward the target. As a result, 3 militants were killed, including 2 Hamas militants and a Lion's Den member who has affiliation with Hamas. Also, the Lion's Den and Al Aqsa Martyrs Brigade (Fatah) joined the battle and threw explosives toward the troops. Meanwhile, Palestinian rioters clashed with soldiers who fired live bullets, stun grenades, and tear gas canisters. As a result, 4 persons were injured with live bullets, and dozens of Palestinians suffered from tear gas inhalation. A military dog was killed, and there were no casualties among the troops.;"Al-Ittihad; Al Ghad (Jordan); AP; Arab 48; Arutz Sheva; BBC News; Dunia Al Watan; Israeli Defense Forces; Joe Truzman; Liveuamap; Ma'an News Agency; Newpress; Palestine News and Information Agency; Palestinian News Network; PLO Negotiations Affairs Department; Quds News Network; Times of Israel; Twitter"
05/05/2023;On 5 May 2023, unidentified Palestinian militant(s) opened fire at Avnei Hefetz settlement (Tulkarm, West Bank). There were no casualties.;"Newpress; Twitter"
06/05/2023;On 6 May 2023, an Israeli Jew shot and killed a 20-year-old Israeli Arab near Sandala (Yizreel, HaZafon). The assailant said he fired in self-defense after clashing with the Arab man. Israeli police opened an investigation.;Arab 48
07/05/2023;On 7 May 2023, unidentified Palestinian militants exchanged fire with Israeli military forces who raided the al-Masaken area in Nablus city (Nablus, West Bank). There were no casualties.;Arab 48
